Name,Breed,Weight,Height,Life Expectancy,Coat Length,Grooming Needs,Energy Level,Intelligence Level,Playfulness,Vocalization,Adaptability
Romeo,Khao Manee,4.6,23,15,2,1,8,8,8,3,9
Gum Drop,Abyssinian,3.6,25,13,1,0,9,7,7,6,8
Sunshine,Persian,6.6,25,11,3,3,4,4,4,4,6
Noodles,Munchkin,2.4,18,12,2,1,5,8,9,5,8
Dior,Sphynx,3.8,21,14,0,0,6,7,6,7,8
Wiggles,Bengal,4.9,31,13,1,1,9,7,9,6,8
Katsuro,Ragdoll,5.4,30,12,3,2,5,7,6,4,8
Jazzy,Siamese,3.4,26,14,1,1,8,7,10,8,10
Eiko,Scottish Fold,4.6,25,12,3,2,4,7,6,3,9
Zion,Sphynx,3.2,25,12,0,0,7,7,5,9,9
Blossom,Bengal,5.6,32,14,2,1,10,6,10,6,8
Goldie,Bengal,5.9,25,15,2,1,8,6,9,6,7
Saki,Bengal,6.3,31,13,2,1,9,7,10,7,7
Akira,Ragdoll,6.7,29,13,3,2,3,5,4,3,7
Masaki,Scottish Fold,3.2,20,14,2,2,5,6,5,4,7
Zohra,Khao Manee,3.5,26,15,1,1,8,8,7,4,9
Jiggles,Siamese,3.8,26,14,1,1,9,8,10,8,8
Koko,Abyssinian,4.8,24,15,2,0,8,7,8,6,9
Aragorn,Khao Manee,3.7,22,13,2,1,7,7,7,3,10
Sax,Scottish Fold,3.5,26,14,3,2,4,6,7,4,8
Goosebump,Khao Manee,3.5,21,13,1,1,6,6,9,3,8
Shira,British Shorthair,4.4,26,13,1,1,6,6,5,3,6
Muggles,Khao Manee,3.4,22,15,1,1,8,7,8,4,10
Reo,Siamese,6.0,24,15,2,1,9,7,8,8,8
Icicles,Bengal,4.6,25,13,1,1,10,7,10,8,7
Butterfly,Bengal,4.8,29,12,2,1,9,7,9,7,7
Phoenix,Persian,6.3,25,14,3,3,5,5,3,3,4
Tortie,British Shorthair,5.3,26,17,2,1,4,6,3,3,8
Lambchop,Scottish Fold,3.6,25,15,2,2,6,8,6,3,9
Unique,Siamese,4.7,24,13,2,1,7,7,9,10,8
Deja,Munchkin,4.0,15,14,1,1,6,6,8,5,9
Poppy,Siamese,4.7,22,13,2,1,9,7,8,8,8
Naoko,Sphynx,4.8,27,12,0,0,8,7,6,8,9
Nibs,Siamese,5.0,22,15,1,1,9,8,8,8,9
Kaddish,Abyssinian,3.2,25,15,2,0,7,6,8,6,9
Morocco,Abyssinian,3.2,22,11,2,0,8,8,9,7,8
Haiku,Sphynx,3.5,26,12,0,0,7,7,5,8,7
Haruko,Khao Manee,3.2,21,14,1,1,7,8,9,5,8
Haruko,Abyssinian,4.3,24,10,2,0,9,8,9,7,10
Opal,Scottish Fold,3.6,25,15,2,2,4,8,6,3,7
Bonbon,Khao Manee,4.0,26,14,1,1,6,7,9,3,8
Nami,Khao Manee,3.1,23,16,1,1,7,6,8,3,8
Jazzy,Bengal,4.5,35,12,2,1,9,7,9,8,7
Elvis,Scottish Fold,3.3,23,12,2,2,6,6,7,5,7
Nala,Munchkin,2.7,20,13,1,1,7,8,8,5,8
Eiko,Sphynx,3.7,23,14,0,0,8,7,7,7,9
Mookie,Persian,4.9,29,13,3,3,3,6,4,3,6
Rishi,Abyssinian,3.9,21,10,2,0,9,8,9,5,9
Daffodil,Persian,4.7,28,12,3,3,4,6,3,2,6
Electro,Abyssinian,4.8,20,14,2,0,9,7,9,7,9
