Name,Breed,Weight,Height,Life Expectancy,Coat Length,Grooming Needs,Energy Level,Intelligence Level,Playfulness,Vocalization,Adaptability
Ryu,Persian,6.6,29,15,3,3,4,6,5,4,5
Escrow,Siamese,4.9,23,15,2,1,7,8,10,9,9
Amore,Siamese,3.2,21,12,2,1,7,8,8,8,10
Siddhartha,Siamese,5.2,25,12,1,1,8,8,9,8,8
Fresca,Siamese,5.2,23,13,2,1,7,8,10,8,8
Keiji,Siamese,4.0,20,13,1,1,9,6,10,9,8
Saki,Siamese,4.0,26,13,1,1,9,6,8,10,9
Teacup,Khao Manee,3.9,20,16,1,1,7,6,9,3,10
Guinevere,Munchkin,3.9,17,12,1,1,6,7,8,4,9
Calix,Siamese,4.6,22,15,1,1,7,8,9,9,8
Typhoon,Siamese,4.2,21,15,2,1,8,7,9,9,10
Yukio,Siamese,5.4,21,13,2,1,9,6,9,8,9
Muppet,Siamese,4.0,26,14,1,1,8,7,8,9,8
Puddin,Persian,6.2,32,15,3,3,4,5,5,2,5
Balzac,Bengal,5.0,31,12,2,1,10,6,10,7,7
Baby Doll,Siamese,3.9,24,13,1,1,7,8,9,9,10
Peaches,Siamese,4.2,22,14,1,1,8,6,9,10,8
Minerva,Siamese,3.9,24,15,1,1,8,8,10,9,10
Adorable,Siamese,4.7,25,15,2,1,9,6,10,9,8
Ivy,Siamese,5.9,25,13,2,1,9,6,8,8,10
Panda,Siamese,5.8,21,13,2,1,7,6,10,10,9
Koji,Siamese,3.9,21,15,2,1,7,6,8,9,8
Romeo,Siamese,5.6,23,13,2,1,7,8,8,9,10
Nao,Siamese,4.8,26,12,1,1,8,7,10,9,10
Keiko,Siamese,5.5,20,15,1,1,7,6,8,8,8
Wiggles,Siamese,5.0,22,13,1,1,8,8,10,10,9
Yuki,Siamese,5.8,21,12,2,1,7,8,9,9,10
Nao,Siamese,5.5,23,14,2,1,7,7,9,8,9
Geneva,Abyssinian,4.5,25,13,2,0,9,8,8,7,10
Nibs,Siamese,3.3,24,12,1,1,8,6,10,8,8
Tofu,Persian,6.1,29,12,3,3,5,4,4,2,6
Geisha,Siamese,3.8,24,14,1,1,8,6,8,9,9
Zena,Siamese,4.0,21,15,2,1,7,6,8,9,10
Furrball,Siamese,5.1,26,12,1,1,9,7,10,8,8
Diamond,Siamese,3.9,20,12,2,1,9,8,10,8,8
Hobbes,Siamese,3.2,26,15,2,1,8,7,10,10,10
Kohana,Siamese,5.2,22,13,2,1,7,8,9,10,8
Cashmere,Siamese,5.9,21,14,1,1,8,7,8,8,8
Mai,Sphynx,3.7,23,14,0,0,8,6,7,8,9
Catwoman,Siamese,3.6,26,15,1,1,8,7,8,8,9
Crocket,Siamese,3.6,20,13,2,1,8,8,9,8,8
Zen,Siamese,4.2,20,12,2,1,8,6,10,10,9
Isao,Siamese,4.7,26,14,1,1,9,8,8,10,10
Ziggy,Siamese,5.8,22,14,1,1,9,6,8,10,8
Queenie,Siamese,4.4,21,13,2,1,8,6,10,9,8
Avalon,Siamese,4.2,23,14,1,1,9,7,10,8,8
Muffin,Siamese,5.2,25,12,2,1,9,6,8,8,9
Amigo,Siamese,5.2,22,13,2,1,8,8,8,8,9
Ambrosia,Sphynx,3.7,21,13,0,0,7,5,5,8,7
Kyoko,Siamese,5.6,26,13,1,1,7,8,10,8,10
Kiyoshi,British Shorthair,5.7,25,16,2,1,5,6,5,3,8
Miki,Sphynx,4.0,23,12,0,0,7,7,6,8,8
Qwerty,Siamese,3.6,25,15,2,1,9,6,9,8,10
Tabby,Siamese,3.9,22,15,1,1,7,8,9,8,8
Lancelot,Siamese,5.6,24,14,1,1,8,6,10,10,8
More,Siamese,5.2,22,14,1,1,7,6,8,9,10
Sumo,Siamese,4.0,25,12,2,1,8,8,10,8,10
Tiara,Abyssinian,3.4,24,15,2,0,7,7,8,5,10
Trinity,Siamese,4.6,20,14,2,1,7,7,9,10,8
Giggles,Siamese,5.8,25,13,1,1,9,7,10,10,8
Hideo,Siamese,4.3,24,15,1,1,8,7,8,8,9
Claws,Siamese,5.4,22,15,2,1,9,7,8,9,9
Escrow,Siamese,4.2,26,14,2,1,7,8,10,8,8
Geisha,Ragdoll,4.6,30,14,3,2,3,7,6,3,6
Skittles,Siamese,5.1,20,13,2,1,7,6,10,8,9
Diva,Siamese,5.1,21,14,2,1,8,6,9,10,8
Goosebump,Siamese,5.8,23,15,2,1,9,7,10,10,9
Blacky,Abyssinian,3.3,23,15,1,0,8,8,8,7,10
Saki,Siamese,4.1,21,12,2,1,7,6,9,10,10
